City,Latitude,Longitude,Time,Temperature_2m,Relative_Humidity_2m,Wind_Speed_10m,Surface_Pressure
Nairobi,-1.28333,36.81667,2026-06-02T06:00,16.9,89,10.2,841.9
Nairobi,-1.28333,36.81667,2026-06-02T07:00,19.5,70,12.0,842.7
Nairobi,-1.28333,36.81667,2026-06-02T08:00,21.9,57,13.1,843.2
Nairobi,-1.28333,36.81667,2026-06-02T09:00,22.5,54,12.9,842.9
Nairobi,-1.28333,36.81667,2026-06-02T10:00,23.2,49,13.2,842.1
Nairobi,-1.28333,36.81667,2026-06-02T11:00,23.8,46,12.6,841.4
Nairobi,-1.28333,36.81667,2026-06-02T12:00,24.6,42,13.0,840.7
Nairobi,-1.28333,36.81667,2026-06-02T13:00,23.5,45,14.4,839.8
Nairobi,-1.28333,36.81667,2026-06-02T14:00,22.8,49,12.5,839.5
Nairobi,-1.28333,36.81667,2026-06-02T15:00,22.1,53,8.5,839.2
Nairobi,-1.28333,36.81667,2026-06-02T16:00,20.9,59,7.5,839.1
Nairobi,-1.28333,36.81667,2026-06-02T17:00,19.7,63,10.2,839.5
Nairobi,-1.28333,36.81667,2026-06-02T18:00,18.0,77,9.5,840.3
Nairobi,-1.28333,36.81667,2026-06-02T19:00,17.3,84,6.6,841.0
Nairobi,-1.28333,36.81667,2026-06-02T20:00,16.5,91,7.1,841.2
Nairobi,-1.28333,36.81667,2026-06-02T21:00,16.4,95,4.6,841.0
Nairobi,-1.28333,36.81667,2026-06-02T22:00,16.3,96,3.1,840.5
Nairobi,-1.28333,36.81667,2026-06-02T23:00,16.1,97,5.6,840.1
Nairobi,-1.28333,36.81667,2026-06-03T00:00,16.0,97,9.2,839.6
Nairobi,-1.28333,36.81667,2026-06-03T01:00,15.8,97,7.0,839.3
